recommendation,reason,lqa_sheet,main_sheet,column,key,lqa_row,main_row,Japanese_Steam,main_value,lqa_value
APPLY,More literal/natural term: re-education -> brainwashing.,Akiho,Akiho,English_Steam,Akiho.Fallen1-11,23,23,「お前を教育して戦わせたところで大した戦力にはならねえからな」,"""Even if we re-educated you to fight, you wouldn't be much of a fighting force.""","""Even if we brainwashed you to fight, you wouldn't be much of a fighting force."""
APPLY,More literal/natural term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen2-51,297,297,「私達を欺くために嘘をついているだけかもしれませんから。今から教育調整を行います」,"""You might just be lying to deceive us. You'll have to be re-educated now.""","""You might just be lying to deceive us. You'll have to be brainwashed now."""
APPLY,More literal/natural term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen2-59,313,313,そして六花の頭がヘルメットのような教育装置で覆われる,Rikka's head was covered with a helmet-like re-educating device.,Rikka's head was covered with a helmet-like brainwashing device.
APPLY,More literal/natural term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen2-61,317,317,「これより教育手術および強化手術を開始します。聖核戦姫としての水無瀬六花はこれで終わりです」,"""We'll now begin the re-educating and enhancement surgery. This is the end of Rikka Minase as a Holy Core Battlemaiden.""","""We'll now begin the brainwashing and enhancement surgery. This is the end of Rikka Minase as a Holy Core Battlemaiden."""
APPLY,More literal/natural term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen2-62,319,319,(っ、諦めたらだめっ！、教育に耐えられればまだ道はあるはずっ！),"(I can't give up! If I can endure the re-educating, there will be another way!)","(I can't give up! If I can endure the brainwashing, there will be another way!)"
APPLY,More literal/natural term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen2-63,321,321,教育装置が赤い光を放ち、マスクの中で六花の脳にレーザーが照射される,"The re-educating device a emitted red light, and lasers were fired at Rikka's brain inside the mask.","The brainwashing device a emitted red light, and lasers were fired at Rikka's brain inside the mask."
APPLY,More literal/natural term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen3-19,377,377,(――――っ諦めるなっ、まだ負けてないっ！聖核戦姫じゃなくなってもっ、教育に12時間耐えればっ！),"(Don't give up, I haven't lost yet! Even if I'm no longer a Holy Core Battlemaiden, if I can endure the re-education for twelve hours!)","(Don't give up, I haven't lost yet! Even if I'm no longer a Holy Core Battlemaiden, if I can endure the brainwashing for twelve hours!)"
APPLY,More literal/natural term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen3-60,459,459,「……教育進行度99.9％……聖核変換割合99.99％……改造は終了です。お疲れさまでした」,"""...Re-educating at 99.9%. Holy Core conversion at 99.99%. Modification complete. You've done well.""","""...Brainwashing at 99.9%. Holy Core conversion at 99.99%. Modification complete. You've done well."""
APPLY,More literal/natural term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen3-69,478,478,「すでに教育は完了し、聖核もクローンの疑似聖核に変換されています」,"""The re-education is complete, and her Holy Core has been replaced with a pseudo-Holy Core.""","""The brainwashing is complete, and her Holy Core has been replaced with a pseudo-Holy Core."""
APPLY_IF_ELENA_STANDARD,Consistent English romanization: Erena/Seid? -> Elena/Seidou.,Erena,Erena,English_Steam,Erena.Fallen1-11,23,23,そしてエレナの口からズルリと触手が抜かれる,The Tentacle Man removed a tentacle from Erena's mouth.,The Tentacle Man removed a tentacle from Elena's mouth.
APPLY_IF_ELENA_STANDARD,Consistent English romanization: Erena/Seid? -> Elena/Seidou.,Erena,Erena,English_Steam,Erena.Fallen1-19,39,39,「まったく…だがそんな勇ましいだけで浅慮なところもエレナ君らしい」,"""Valiant but reckless. Very much like you, Erena.""","""Valiant but reckless. Very much like you, Elena."""
