Key,Comment,Japanese,Traditional Chinese,Simplified Chinese,Japanese_Steam,Traditional Chinese_Steam,English_Steam,Korean_Steam,Simplified Chinese_Steam
DLC　プロローグ,注釈,,,,,,,,
,黒背景,,,,,,,,
,暗転,,,,,,,,
,,,,,,,,,
Dialog.DLC-P-1,,フォーレン財団聖核戦姫研究施設にて―――,福倫財團聖核戰姬研究設施內———,,フォーレン財団聖核戦姫研究施設にて―――,在墮落財團聖核戰姬研究設施中―――,At the Forren Foundation Holy Core Battlemaiden Research Facility,폴른 재단 성핵전희 연구 시설에서―――,在堕落财团圣核战姬研究设施中―――
,Hisui story DLC 1,,,,,,,,
Dialog.DLC-P-2,,水槽の中に、一人の少女が機械に繋がれていた。,水槽中，一位少女被連接到機器上。,,水槽の中に、一人の少女が機械に繋がれていた。,水槽裡，一名少女被連接在機械裝置上。,"Inside a water tank, a single girl was connected to machines.","수조 안에, 한 명의 소녀가 기계에 연결되어 있었다.",水槽里，一名少女被连接在机械装置上。
,,,,,,,,,
Dialog.DLC-P-3,???,（…………）,（…………）,,（…………）,（…………）,(...),(…………),（…………）
,,,,,,,,,
Dialog.DLC-P-4,???,（…………………）,（…………………）,,（…………………）,（…………………）,(...),(…………………),（…………………）
,,,,,,,,,
Dialog.DLC-P-5,クローン戦闘員,「本日の経過。洗脳深度36％…あまり進行していませんね。」,「今日的進展。洗腦深度36％...進展不算太多呢。」,,「本日の経過。教育深度36％…あまり進行していませんね。」,「今日的進度。教育深度 36%……幾乎沒有什麼進展呢。」,"""Today's progress. Re-education depth at 36%... not much advancement.""",「오늘의 경과. 세뇌 심도 36％… 별로 진행되지 않았군요.」,「今日的进度。教育深度 36%……几乎没有什么进展呢。」
,,,,,,,,,
Dialog.DLC-P-6,???,（……………………………………）,（…………………）,,（……………………………………）,（……………………………………）,(...),(……………………………………),（……………………………………）
,,,,,,,,,
Dialog.DLC-P-7,クローン戦闘員,「解析では大して強い聖核エネルギーを持った個体ではなかったのですが…」,「在分析中並沒有顯示出擁有強大聖核能量的個體...」,,「解析では大して強い聖核エネルギーを持った個体ではなかったのですが…」,「按分析來看，她並不是持有特別強大聖核能量的個體才對，不過……」,"""According to analysis, this individual doesn't possess particularly strong Holy Core Energy...""",「해석에서는 그다지 강한 성핵 에너지를 가진 개체는 아니었습니다만…」,「按分析来看，她并不是持有特别强大圣核能量的个体才对，不过……」
,,,,,,,,,
Dialog.DLC-P-8,???,（………………………………………………………）,（…………………………………）,,（………………………………………………………）,（………………………………………………………）,(...),(………………………………………………………),（………………………………………………………）
,,,,,,,,,
