Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English,English_Steam,Korean_Steam,Simplified Chinese_Steam
Nayuta Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン,,闇堕ちシーン,,타락 이벤트,
Nayuta.Fallen1-1,暗転,那由多は財団に捕らえられ、地下深くの施設に厳重に拘束されていた,那由多は財団に捕らえられ、地下深くの施設に厳重に拘束されていた,那由多被財團抓走，被嚴密地拘束在地下深處的設施裡。,Nayuta was captured by the Foundation and held tightly in a facility deep underground.,Nayuta had been captured by the Foundation and was heavily restrained deep within an underground facility.,"나유타는 재단에 붙잡혀, 지하 깊숙한 시설에 엄중히 구속되어 있었다",那由多被财团抓走，被严密地拘束在地下深处的设施里。
,Nayuta darkness 1-1,,,,,,,
Nayuta.Fallen1-2,那由多,(……この鎖…かなり丈夫な素材で作られていますね…),(……この鎖…かなり丈夫な素材で作られていますね…),（……這條鎖鏈…是用相當堅固的材料做的呢…）,(...... this chain... it is made of a very strong material...),(...These chains... They're made from quite a sturdy material...),(……이 사슬… 꽤 튼튼한 소재로 만들어졌군요…),（……这条锁链…是用相当坚固的材料做的呢…）
,,,,,,,,
Nayuta.Fallen1-3,,(……………とはいえこの程度なら変身さえすれば破壊できるでしょう),(……………とはいえこの程度なら変身さえすれば破壊できるでしょう),（……………話雖如此，只要變身的話，應該就能破壞掉。）,"(Even though it is ..............., this level of destruction will be possible as long as it is transformed.)","(...That said, I should be able to destroy them if I just transform.)",(……………라고는 해도 이 정도라면 변신만 하면 파괴할 수 있겠죠),（……………话虽如此，只要变身的话，应该就能破坏掉。）
,,,,,,,,
Nayuta.Fallen1-4,,(…聖核エネルギーを貯めて……脱出できればこのアジト程度すぐにでも壊滅させられるでしょう。),(…聖核エネルギーを貯めて……脱出できればこのアジト程度すぐにでも壊滅させられるでしょう。),（…只要儲存聖核能量…然後成功逃脫，這個基地馬上就能毀滅。）,"(...If we can store the Seikaku energy and escape from ......, we can destroy this hideout immediately...)","(If I can accumulate Holy Core Energy... Once I escape, I can easily destroy a hideout of this level.)",(…성핵 에너지를 모아서…… 탈출할 수 있다면 이 아지트 정도는 즉시 괴멸시킬 수 있을 겁니다.),（…只要储存圣核能量…然后成功逃脱，这个基地马上就能毁灭。）
,,,,,,,,
Nayuta.Fallen1-5,,(……脅威になりえるのはエレナぐらいですが…次は油断しません！),(……脅威になりえるのはエレナぐらいですが…次は油断しません！),（……能構成威脅的只有艾蓮娜，但下次我不會再大意了！）,(......The only one who could be a threat is Erena... but I won't let my guard down next time!),(The only real threat would be Erena... But I won't let my guard down next time!),(……위협이 될 만한 것은 엘레나 정도지만… 다음엔 방심하지 않겠습니다!),（……能构成威胁的只有艾莲娜，但下次我不会再大意了！）
