recommendation,reason,lqa_sheet,main_sheet,column,key,lqa_row,main_row,Japanese_Steam,main_value,lqa_value
SKIP,Malformed quote/parenthesis regression.,System,System,Korean_Steam,HomeChar.Hisui_DLC_1-2,461,512,(……どこかに使えそうな情報は……？),(……이용할 만한 정보는 없을까……?),(……어딘가에 쓸만한 정보는……?)
SKIP,Malformed quote/parenthesis regression.,Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-2-39,260,260,(ううっ、後輩がすぐそこにいるのに！、こんな情けない恰好でっ！私は何をしているのですかっ！？),"(우웃, 후배가 바로 거기에 있는데!, 이런 한심한 꼴로! 저는 뭘 하고 있는 겁니까!?)","(우웃, 후배가 바로 거기에 있는데!, 이런 한심한 꼴로! 저는 뭘 하고 있는 겁니까!?」"
SKIP,Malformed quote/parenthesis regression.,Akiho,Akiho,Korean_Steam,Akiho.Core2-24,916,916,(～っ！？、な、何っ！、そこに誰かいるのっ！？),"(~윽!?, 뭐, 뭐야!, 거기에 누구 있는 거야!?)","(~윽!?, 뭐, 뭐야!, 거기에 누구 있는 거야!?」"
SKIP,Malformed quote/parenthesis regression.,Akiho,Akiho,Korean_Steam,Akiho.Core2-27,922,922,(～～～っ！？、え、何っ、どういう事っ！？),"(~~~윽!?, 에, 뭐야, 무슨 소리야!?)","(~~~윽!?, 에, 뭐야, 무슨 소리야!?」"
SKIP_OR_FIX_MANUALLY,Malformed string risk: unmatched quote/bracket/parenthesis in LQA.,Akiho,Akiho,English_Steam,Akiho.Fallen1-9,19,19,「安心しろ、何もお前をバケモノに改造したリ戦闘員にするわけじゃない」,"""Don't worry, we're not going to turn you into a monster or make you a soldier.""","""Don't worry, we're not going to turn you into a monster or make you a soldier.""...? What's your purpose...!?"""
SKIP_OR_FIX_MANUALLY,Malformed string risk: unmatched quote/bracket/parenthesis in LQA.,Akiho,Akiho,English_Steam,Akiho.Core1-34,817,817,「はあっ、何とかしないとっ！…でもっ♥！ん゛っ♥」,"""Haaaa... I need to do something about this... But♥ Nnnnn♥""","""Haaaa... I need to do something about this... But♥ Nnnnn♥"
SKIP_OR_FIX_MANUALLY,Malformed string risk: unmatched quote/bracket/parenthesis in LQA.,Rikka,Rikka,English_Steam,Rikka.Debauchery2-33,782,782,そして観客たちはステージ上の六花に向かって各々精液を吐き出していく,"""The audience shot their loads at her.""","The audience shot their loads at her."""
SKIP,LQA wording is grammatically wrong or semantically suspicious.,Kei,Kei,English_Steam,Kei.Fallen2-13,311,311,「……さあ、膣に力入れるからとっとと射精してくれ」,"""...Now, I'm going to squeeze my vagina very hard, so hurry up and ejaculate.""","""...Now, I'll going to squeeze my vagina very hard, so hurry up and ejaculate."""
SKIP_OR_FIX_MANUALLY,Malformed string risk: unmatched quote/bracket/parenthesis in LQA.,Kei,Kei,English_Steam,Kei.Debauchery1-65,713,713,「これは視聴者から投げ銭と連動して動くピストンです。お、早速誰か投げ銭を」,"""This piston moves in sync with viewer donations. Oh, someone's already donating.""","""This piston moves in sync with viewer donations. Oh, someone's already donating."
SKIP,LQA wording is grammatically wrong or semantically suspicious.,Kei,Kei,English_Steam,Kei.Debauchery2-33,849,849,「なっ♥、で、でもっ♥、何をっ♥！？」,"""Higu♥!? St-still only halfway!?""","""Wh♥!? What rule♥!?"""
