Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English_Steam,Korean_Steam,Simplified Chinese_Steam
Record nursery,注釈,変身ヒロイン苗床化　高難易度コンテンツ①触手クリア後,変身ヒロイン苗床化　高難易度コンテンツ①触手クリア後,,,변신 히로인 묘상화 고난이도 콘텐츠 ① 촉수 클리어 후,
Record.Nursery,暗転,【苗床へ堕ちる聖核戦姫】,【苗床へ堕ちる聖核戦姫】,【墮落成苗床的聖核戰姬】,[Holy Core Battlemaidens Who Fall to Become Seedbeds],【묘상으로 타락하는 성핵전희】,【堕落成苗床的圣核战姬】
Record.Nursery-1,Record nuesery 1,記録：聖核戦姫育苗研究施設にて,記録：聖核戦姫育苗研究施設にて,記錄：於聖核戰姬育苗研究設施,Record: At the Holy Core Battlemaiden Cultivation Research Facility,기록: 성핵전희 육묘 연구 시설에서,记录：于圣核战姬育苗研究设施
,,,,,,,
Record.Nursery-2,,財団との戦いに敗北した聖核戦姫達は様々な用途に利用され、強い力を持った者はより強い怪人を産む苗床となった,財団との戦いに敗北した聖核戦姫達は様々な用途に利用され、強い力を持った者はより強い怪人を産む苗床となった,在與財團的戰鬥中失敗的聖核戰姬們被用於各種用途，其中擁有強大力量者則成為了產下更強怪人的苗床。,"The Holy Core Battlemaidens who were defeated in battles against the Foundation were used for various purposes, with those possessing strong power becoming seedbeds to birth even stronger monsters.","재단과의 싸움에 패배한 성핵전희들은 다양한 용도로 이용되었고, 강한 힘을 가진 자는 더욱 강한 괴인을 낳는 묘상이 되었다",在与财团的战斗中失败的圣核战姬们被用于各种用途，其中拥有强大力量者则成为了产下更强怪人的苗床。
,,,,,,,
Record.Nursery-3,,ズルルッ！、ズルッ、グポッ,ズルルッ！、ズルッ、グポッ,滑溜！滑入、咕噗。,"Squelch! Slurp, glop","즈르릇!, 즈릇, 그폿",滑溜！、滑入、咕噗。
,,,,,,,
Record.Nursery-4,聖核戦姫,「ん゛んっ！～～～～～～～～っ！！！！」,「ん゛んっ！～～～～～～～～っ！！！！」,「嗯嗯！～～～～～～～～！！！！」,"""Nnngh! Mmmmmmmph!!!!""",「응옷 응윽!~~~~~~윽!!!!」,「嗯嗯！～～～～～～～～！！！！」
,,,,,,,
Record.Nursery-5,,部屋には苗床となった聖核戦姫達の快楽による苦悶の声が小さく響き渡る,部屋には苗床となった聖核戦姫達の快楽による苦悶の声が小さく響き渡る,房間裡迴盪著化為苗床的聖核戰姬們因快感而發出微弱地苦悶聲。,Soft agonized moans of pleasure from the Holy Core Battlemaidens who had become seedbeds echoed throughout the room.,방에는 묘상이 된 성핵전희들의 쾌락에 의한 고통스러운 목소리가 작게 울려 퍼진다,房间里回荡着化为苗床的圣核战姬们因快感而发出微弱地苦闷声。
,,,,,,,
Record.Nursery-6,クローン戦闘員,「苗床S11からS23までの状態を確認、健康状態に大きな変化はありません」,「苗床S11からS23までの状態を確認、健康状態に大きな変化はありません」,「確認苗床S11至S23的狀態，健康狀況沒有太大變化。」,"""Status check confirmed for Seedbeds S11 through S23, no major changes in health.""","「묘상 S11부터 S23까지 상태 확인, 건강 상태에 큰 변화는 없습니다」",「确认苗床S11至S23的状态，健康状况没有太大变化。」
,,,,,,,
Record.Nursery-7,,「本日妊娠した触手の数は平均13。そのうち今日は平均7匹を出産済みです」,「本日妊娠した触手の数は平均13。そのうち今日は平均7匹を出産済みです」,「本日懷孕的觸手數量平均為13隻。其中今天已經生下的數量平均為7隻。」,"""Average number of tentacles impregnated today: 13. Of those, an average of 7 have already been birthed today.""",「오늘 임신한 촉수의 수는 평균 13. 그중 오늘은 평균 7마리를 출산 완료했습니다」,「本日怀孕的触手数量平均为13只。其中今天已经生下的数量平均为7只。」
,,,,,,,
