lqa_sheet,main_sheet,column,key,lqa_row,main_row,status,main_value,lqa_value
System,System,Korean_Steam,System.NewGame,3,3,DIFF_SAME_SHEET,New Game,게임시작
System,System,Korean_Steam,System.Load,4,4,DIFF_SAME_SHEET,Load,이어하기
System,System,Korean_Steam,System.Gallery,5,5,DIFF_SAME_SHEET,Gallery,갤러리룸
System,System,Korean_Steam,System.Option,6,6,DIFF_SAME_SHEET,Option,옵션설정
System,System,Korean_Steam,System.Credit,7,7,DIFF_SAME_SHEET,Credit,스태프롤
System,System,Korean_Steam,System.Exit,8,8,DIFF_SAME_SHEET,Exit,게임종료
System,System,Korean_Steam,System.Mood,20,20,DIFF_SAME_SHEET,심정:,심정：
System,System,Korean_Steam,System.PickTraining,23,23,DIFF_SAME_SHEET,조교 방법 선택:,조교 방법 선택：
System,System,Korean_Steam,System.BrainwashTraining,25,25,DIFF_SAME_SHEET,교육 조교,세뇌 조교
System,System,Korean_Steam,System.ResearchPointCost,27,27,DIFF_SAME_SHEET,연구 포인트 소모:,연구 포인트 소모：
System,System,Korean_Steam,System.Back,29,30,DIFF_SAME_SHEET,나가기,뒤로
System,System,Korean_Steam,System.Confirm,30,31,DIFF_SAME_SHEET,확정,확인
System,System,Korean_Steam,System.Attack,32,33,DIFF_SAME_SHEET,공격력:,공격력：
System,System,Korean_Steam,System.Level,33,34,DIFF_SAME_SHEET,LV:,LV：
System,System,Korean_Steam,System.HP,34,35,DIFF_SAME_SHEET,HP:,체력：
System,System,Korean_Steam,System.MP,35,36,DIFF_SAME_SHEET,SP:,SP：
System,System,Korean_Steam,System.Defense,36,37,DIFF_SAME_SHEET,방어력:,방어력：
System,System,Korean_Steam,System.Speed,37,38,DIFF_SAME_SHEET,민첩성:,민첩성：
System,System,Korean_Steam,System.Skill,38,39,DIFF_SAME_SHEET,특수기:,특수기：
System,System,Korean_Steam,System.SPCost,50,51,DIFF_SAME_SHEET,SP 소모:,SP 소모：
System,System,Korean_Steam,System.EffectTarget,51,52,DIFF_SAME_SHEET,효과 대상:,효과 대상：
System,System,Korean_Steam,System.Cancel,70,71,DIFF_SAME_SHEET,취소하기,취소
System,System,Korean_Steam,System.NovelAuto,92,95,DIFF_SAME_SHEET,자동 시작/정지,자동 시작・정지
System,System,Korean_Steam,Systeｍ.Requirement,98,101,DIFF_SAME_SHEET,개방 조건:,개방 조건：
System,System,Korean_Steam,Memory.KeiBrainWash_1,139,142,DIFF_SAME_SHEET,케이 - 교육 조교 I,케이 - 세뇌 조교 I
System,System,Korean_Steam,Memory.KeiBrainWash_2,140,143,DIFF_SAME_SHEET,케이 - 교육 조교 II,케이 - 세뇌 조교 II
System,System,Korean_Steam,Memory.KeiBrainWash_3,141,144,DIFF_SAME_SHEET,케이 - 교육 조교 III,케이 - 세뇌 조교 III
System,System,Korean_Steam,System.FoodQuest,166,193,DIFF_SAME_SHEET,[식량 약탈],[식량 조달]
System,System,Korean_Steam,Name.Tank,193,220,DIFF_SAME_SHEET,사족 보행 탱크,사각 탱크
System,System,Korean_Steam,Equipment.Helmet_Info,305,336,DIFF_SAME_SHEET,"머리 보호뿐만 아니라, 정보를 실시간으로 표시할 수 있는 최신형 헬멧.
그 혹독한 전장 「퀀텀 전역」에서 생존율을 확실히 높여 준 아이템.","머리 보호뿐만 아니라, 정보의 실시간 표시도 가능한 최신형 헬멧.
그 혹독한 전장 「퀀텀 전역」에서의 생존율을 확실히 향상시켜 온 아이템."
System,System,Korean_Steam,Equipment.Stungun,312,343,DIFF_SAME_SHEET,쇼크웨이브 펄서,쇼크웨이브・펄서
