recommendation,reason,lqa_sheet,main_sheet,column,key,lqa_key,lqa_row,main_row,Japanese_Steam,main_value,lqa_value
SKIP_OR_FIX_MANUALLY,LQA has unmatched quote/bracket/parenthesis risk.,Akiho,Akiho,English_Steam,Akiho.Fallen1-9,Akiho.Fallen1-9,19,19,「安心しろ、何もお前をバケモノに改造したリ戦闘員にするわけじゃない」,"""Don't worry, we're not going to turn you into a monster or make you a soldier.""","""Don't worry, we're not going to turn you into a monster or make you a soldier.""...? What's your purpose...!?"""
SKIP_OR_FIX_MANUALLY,LQA has unmatched quote/bracket/parenthesis risk.,Akiho,Akiho,English_Steam,Akiho.Core1-34,Akiho.Core1-34,817,817,「はあっ、何とかしないとっ！…でもっ♥！ん゛っ♥」,"""Haaaa... I need to do something about this... But♥ Nnnnn♥""","""Haaaa... I need to do something about this... But♥ Nnnnn♥"
SKIP_OR_FIX_MANUALLY,LQA has unmatched quote/bracket/parenthesis risk.,Akiho,Akiho,Korean_Steam,Akiho.Core2-24,Akiho.Core2-24,916,916,(～っ！？、な、何っ！、そこに誰かいるのっ！？),"(~윽!?, 뭐, 뭐야!, 거기에 누구 있는 거야!?)","(~윽!?, 뭐, 뭐야!, 거기에 누구 있는 거야!?」"
SKIP_OR_FIX_MANUALLY,LQA has unmatched quote/bracket/parenthesis risk.,Akiho,Akiho,Korean_Steam,Akiho.Core2-27,Akiho.Core2-27,922,922,(～～～っ！？、え、何っ、どういう事っ！？),"(~~~윽!?, 에, 뭐야, 무슨 소리야!?)","(~~~윽!?, 에, 뭐야, 무슨 소리야!?」"
SKIP_OR_FIX_MANUALLY,LQA has unmatched quote/bracket/parenthesis risk.,Dialog.Chapter3,Dialog.Chapter3,Korean_Steam,Dialog.Chapter3-2-39,Dialog.Chapter3-2-39,260,260,(ううっ、後輩がすぐそこにいるのに！、こんな情けない恰好でっ！私は何をしているのですかっ！？),"(우웃, 후배가 바로 거기에 있는데!, 이런 한심한 꼴로! 저는 뭘 하고 있는 겁니까!?)","(우웃, 후배가 바로 거기에 있는데!, 이런 한심한 꼴로! 저는 뭘 하고 있는 겁니까!?」"
SKIP,LQA wording is grammatically wrong or semantically suspicious.,Kei,Kei,English_Steam,Kei.Fallen2-13,Kei.Fallen2-13,311,311,「……さあ、膣に力入れるからとっとと射精してくれ」,"""...Now, I'm going to squeeze my vagina very hard, so hurry up and ejaculate.""","""...Now, I'll going to squeeze my vagina very hard, so hurry up and ejaculate."""
SKIP_OR_FIX_MANUALLY,LQA has unmatched quote/bracket/parenthesis risk.,Kei,Kei,English_Steam,Kei.Debauchery1-65,Kei.Debauchery1-65,713,713,「これは視聴者から投げ銭と連動して動くピストンです。お、早速誰か投げ銭を」,"""This piston moves in sync with viewer donations. Oh, someone's already donating.""","""This piston moves in sync with viewer donations. Oh, someone's already donating."
SKIP,LQA wording is grammatically wrong or semantically suspicious.,Kei,Kei,English_Steam,Kei.Debauchery2-33,Kei.Debauchery2-33,849,849,「なっ♥、で、でもっ♥、何をっ♥！？」,"""Higu♥!? St-still only halfway!?""","""Wh♥!? What rule♥!?"""
SKIP_OR_FIX_MANUALLY,LQA has unmatched quote/bracket/parenthesis risk.,Record,Record,English_Steam,Record.CloneTask-49,Record.CloneTask-49,532,532,戦闘員のチンポが何度か脈打った後、残った精液が発射される,"""After the soldier pulsated several times, the remaining semen was unloaded.""","After the soldier pulsated several times, the remaining semen was unloaded."""
SKIP,LQA wording is grammatically wrong or semantically suspicious.,Record,Record,English_Steam,Record.SeikakuEquip-2,Record.SeikakuEquip-2,812,812,フォーレン財団の地下アジトの一室に、機械音と水音の響く部屋があった,"In one room of the Fallen Foundation’s underground hideout, the sounds of machinery and running water echoed through the air.","In a room in the Forren Foundation's underground hideout, there was a room echoing with the sound of machines and water."
SKIP_OR_FIX_MANUALLY,LQA has unmatched quote/bracket/parenthesis risk.,Rikka,Rikka,English_Steam,Rikka.Debauchery2-33,Rikka.Debauchery2-33,782,782,そして観客たちはステージ上の六花に向かって各々精液を吐き出していく,"""The audience shot their loads at her.""","The audience shot their loads at her."""
SKIP_OR_VERIFY_GAMEPLAY,Mechanic/term change may alter meaning or UI convention; verify before applying.,System,System,Korean_Steam,System.HP,System.HP,34,35,体力：,HP:,체력：
SKIP_OR_VERIFY_GAMEPLAY,Mechanic/term change may alter meaning or UI convention; verify before applying.,System,System,Korean_Steam,Name.Tank,Name.Tank,193,220,四脚タンク,사족 보행 탱크,사각 탱크
SKIP_OR_VERIFY_GAMEPLAY,Mechanic/term change may alter meaning or UI convention; verify before applying.,System,System,Korean_Steam,Ability.Capture_Info,Ability.Capture_Info,377,412,"敵１体の攻撃力・スピードを一時25%ダウン

女性相手なら防御力と攻撃力をダウンさせる","적 1명의 공격력과 속도를 일시적으로 25% 감소시킨다.

대상이 여성일 경우, 추가로 방어력과 공격력을 감소시킨다.","적 １체의 공격력・속도를 일시적으로 25% 다운

여성 상대라면 방어력과 공격력을 다운시킨다"
SKIP_OR_VERIFY_GAMEPLAY,Mechanic/term change may alter meaning or UI convention; verify before applying.,System,System,Korean_Steam,Ability.GuardianAngel_Info,Ability.GuardianAngel_Info,405,440,味方全員が受けるダメージを一回無効にする。,모든 아군이 피해를 1회 무효화합니다.,１턴 동안 아군 전원이 받는 데미지를 무효로 한다.
SKIP_OR_VERIFY_GAMEPLAY,Mechanic/term change may alter meaning or UI convention; verify before applying.,System,System,Korean_Steam,Ability.PowerMode_Info,Ability.PowerMode_Info,421,458,"有効にすると攻撃が70%アップ。
常時 30 ダメージ受ける。

スキルを有効・無効にするときターンを消耗しない","활성화하면 공격이 70% 업.
상시 30 데미지를 받는다.

스킬을 활성화・비활성화할 때 턴을 소모하지 않는다","활성화하면 공격이 70% 업.
상시 20 데미지를 받는다.

스킬을 활성화・비활성화할 때 턴을 소모하지 않는다"
SKIP_OR_VERIFY_GAMEPLAY,Mechanic/term change may alter meaning or UI convention; verify before applying.,System,System,Korean_Steam,BattleLog.AbilityExecute,BattleLog.AbilityExecute,502,557,{0}　からの {1}！,{0}의 {1}!,{0}에서의 {1}!
