Key,Comment,Japanese,Japanese_Steam,English,Traditional Chinese_Steam,Traditional Chinese,Simplified Chinese,English_Steam,Korean_Steam,Simplified Chinese_Steam
Hisui Fallen Scene,注釈,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン,闇堕ちシーン,,타락화 이벤트,暗堕ちシーン
,,,,,,,,,,
Hisui.Fallen1-1,ヒスイ,「………………。」,「………………。」,,「………………。」,「………………。」,,"""...""",「……………….」,「………………。」
,,,,,,,,,,
Hisui.Fallen1-2,,「…………………………。」,「…………………………。」,,「…………………………。」,「………………。」,,"""...""",「………………………….」,「…………………………。」
,,,,,,,,,,
Hisui.Fallen1-3,,京の反逆の後、ヒスイはパワードスーツから抜け出し街中の小さなホテルに隠れていた。,京の反逆の後、ヒスイはパワードスーツから抜け出し街中の小さなホテルに隠れていた。,,京的背叛事件結束後，翡翠從動力裝甲中逃脫，躲在街上的小旅館裡。,反叛行動後，翡翠從動力裝甲中逃脫，躲藏在城市中一家小旅館裡。,,"After Kei's betrayal, Hisui escaped from her powered suit and hid in a small hotel in the city.","케이의 반역 후, 히스이는 파워드 슈트에서 빠져나와 거리의 작은 호텔에 숨어 있었다.",京的背叛事件结束后，翡翠从动力装甲中逃脱，躲在街上的小旅馆里。
,,,,,,,,,,
Hisui.Fallen1-4,ヒスイ(私服),「…………っ、ダイヤさん……私……。」,「…………っ、ダイヤさん……私……。」,,「…………黛雅小姐……我……。」,「…………、黛雅……我……。」,,"""Daiya... I...""","「…………윽, 다이아 씨…… 저…….」",「…………黛雅小姐……我……。」
,,,,,,,,,,
Hisui.Fallen1-5,,「………最初から踊らされていて…いったい何のために…。」,「………最初から踊らされていて…いったい何のために…。」,,「………從一開始就被玩弄於股掌之間…到底是為了什麼…。」,「………從一開始就被操控著…到底為了什麼…。」,,"""I was being manipulated from the very beginning... What was it all for...""",「………처음부터 놀아나고 있었고… 대체 무엇을 위해….」,「………从一开始就被玩弄于股掌之间…到底是为了什么…。」
,,,,,,,,,,
Hisui.Fallen1-6,,「………うっ……♥」,「………うっ……♥」,,「………嗚……♥」,「………嗯……♥」,,"""Ugh...♥""",「………으윽……♥」,「………呜……♥」
,,,,,,,,,,
Hisui.Fallen1-7,,「こんな時なのに…財団に潜入してから体の疼きが止まらない……っ♥」,「こんな時なのに…財団に潜入してから体の疼きが止まらない……っ♥」,,「明明是這種時候了…自從潛入財團之後身體的悸動就停不下來……♥」,「這種時候…偏偏在潛入財團後身體的疼痛不停止……♥」,,"""Even at a time like this... Ever since infiltrating the Foundation, my body won't stop aching...♥""",「이럴 때인데… 재단에 잠입하고 나서 몸의 가려움이 멈추지 않아……윽♥」,「明明是这种时候了…自从潜入财团之后身体的悸动就停不下来……♥」
,,,,,,,,,,
Hisui.Fallen1-8,,ヒスイの手は無意識のうちに秘所へと伸び、戦闘員の時のように快楽を求めてしまう。,ヒスイの手は無意識のうちに秘所へと伸び、戦闘員の時のように快楽を求めてしまう。,,翡翠的手無意識地伸向秘處，像戰鬥員時一樣追求快樂。,翡翠的手不自覺地伸向秘處，像是在尋求戰鬥時的快感一般。,,"Hisui's hand unconsciously reached toward her private parts, seeking pleasure just like when she was a soldier.","히스이의 손은 무의식 중에 은밀한 곳으로 뻗어, 전투원 때처럼 쾌락을 구하고 만다.",翡翠的手无意识地伸向秘处，像战斗员时一样追求快乐。
,,,,,,,,,,
Hisui.Fallen1-9,,クチュ…クチュッ………,クチュ…クチュッ………,,咕啾…咕啾………,啾啾……啾啾……,,Squelch... squelch...,쿠츗… 쿠츗………,咕啾…咕啾………
,,,,,,,,,,
Hisui.Fallen1-10,,「はあっ♥……ダイヤさんは今頃酷い事をされてるのに……♥」,「はあっ♥……ダイヤさんは今頃酷い事をされてるのに……♥」,,「哈啊♥……黛雅小姐現在大概正遭受可怕的事……♥」,「呼…♥……黛雅現在應該正在受著痛苦……♥」,,"""Haah♥... While terrible things are being done to Daiya right now...♥""",「하앗♥…… 다이아 씨는 지금쯤 끔찍한 일을 당하고 있을 텐데……♥」,「哈啊♥……黛雅小姐现在大概正遭受可怕的事……♥」
,,,,,,,,,,
Hisui.Fallen1-11,,「私のせいで…♥、私が無能だったから…♥」,「私のせいで…♥、私が無能だったから…♥」,,「因為我的關係…♥，因為我無能…♥」,「都怪我…♥，是因為我太無能了…♥」,,"""It's my fault...♥ Because I was incompetent...♥""","「제 탓으로…♥, 제가 무능했기 때문에…♥」",「因为我的关系…♥，因为我无能…♥」
,,,,,,,,,,
Hisui.Fallen1-12,,「はあっ♥、はあっ♥、なんでっ…全然気持ちよく無い…イケないっ…♥」,「はあっ♥、はあっ♥、なんでっ…全然気持ちよく無い…イケないっ…♥」,,「哈啊♥、哈啊♥，為什麼…完全不舒服…高潮不了…♥」,「呼…♥，呼…♥，為什麼…一點也不舒服…不對…♥」,,"""Haah♥ haah♥ Why... It doesn't feel good at all... I can't come...♥""","「하앗♥, 하앗♥, 왜… 전혀 기분 좋지 않아… 갈 수 없어…♥」",「哈啊♥、哈啊♥，为什么…完全不舒服…高潮不了…♥」
,,,,,,,,,,
