recommendation,reason,lqa_sheet,main_sheet,column,key,lqa_row,main_row,Japanese_Steam,main_value,lqa_value
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Akiho,Akiho,English_Steam,Akiho.Fallen1-11,23,23,「お前を教育して戦わせたところで大した戦力にはならねえからな」,"""Even if we re-educated you to fight, you wouldn't be much of a fighting force.""","""Even if we brainwashed you to fight, you wouldn't be much of a fighting force."""
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Kei,Kei,English_Steam,Kei.Fallen1-5,11,11,「他の捕らえられた聖核戦姫みたいに私も調教されるのだろう？」,"""Aren't you going to re-educate me like you did with the other captured Holy Core Battlemaidens?""","""Aren't you going to brainwash me like you did with the other captured Holy Core Battlemaidens?"""
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Kei,Kei,English_Steam,Kei.Fallen1-8,17,17,「もちろん理解しているよ。私は凌辱の限りを尽くされ、調教されるのだろう？」,"""I do, you're going to humiliate me as much as possible and then re-educate me, right?""","""I do, you're going to humiliate me as much as possible and then brainwash me, right?"""
APPLY,Typo fix: comoing -> cumming.,Kei,Kei,English_Steam,Kei.Fallen2-45,375,375,「うおっ、耐えられねえっ、出るっ！」,"""Whoa, I can't hold it, I'm comoing!""","""Whoa, I can't hold it, I'm cumming!"""
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen2-51,297,297,「私達を欺くために嘘をついているだけかもしれませんから。今から教育調整を行います」,"""You might just be lying to deceive us. You'll have to be re-educated now.""","""You might just be lying to deceive us. You'll have to be brainwashed now."""
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen2-59,313,313,そして六花の頭がヘルメットのような教育装置で覆われる,Rikka's head was covered with a helmet-like re-educating device.,Rikka's head was covered with a helmet-like brainwashing device.
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen2-61,317,317,「これより教育手術および強化手術を開始します。聖核戦姫としての水無瀬六花はこれで終わりです」,"""We'll now begin the re-educating and enhancement surgery. This is the end of Rikka Minase as a Holy Core Battlemaiden.""","""We'll now begin the brainwashing and enhancement surgery. This is the end of Rikka Minase as a Holy Core Battlemaiden."""
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen2-62,319,319,(っ、諦めたらだめっ！、教育に耐えられればまだ道はあるはずっ！),"(I can't give up! If I can endure the re-educating, there will be another way!)","(I can't give up! If I can endure the brainwashing, there will be another way!)"
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen2-63,321,321,教育装置が赤い光を放ち、マスクの中で六花の脳にレーザーが照射される,"The re-educating device a emitted red light, and lasers were fired at Rikka's brain inside the mask.","The brainwashing device a emitted red light, and lasers were fired at Rikka's brain inside the mask."
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen3-19,377,377,(――――っ諦めるなっ、まだ負けてないっ！聖核戦姫じゃなくなってもっ、教育に12時間耐えればっ！),"(Don't give up, I haven't lost yet! Even if I'm no longer a Holy Core Battlemaiden, if I can endure the re-education for twelve hours!)","(Don't give up, I haven't lost yet! Even if I'm no longer a Holy Core Battlemaiden, if I can endure the brainwashing for twelve hours!)"
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen3-60,459,459,「……教育進行度99.9％……聖核変換割合99.99％……改造は終了です。お疲れさまでした」,"""...Re-educating at 99.9%. Holy Core conversion at 99.99%. Modification complete. You've done well.""","""...Brainwashing at 99.9%. Holy Core conversion at 99.99%. Modification complete. You've done well."""
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Rikka,Rikka,English_Steam,Rikka.Fallen3-69,478,478,「すでに教育は完了し、聖核もクローンの疑似聖核に変換されています」,"""The re-education is complete, and her Holy Core has been replaced with a pseudo-Holy Core.""","""The brainwashing is complete, and her Holy Core has been replaced with a pseudo-Holy Core."""
APPLY_IF_UI_FITS,Untranslated UI label became Korean.,System,System,Korean_Steam,System.NewGame,3,3,New Game,New Game,게임시작
APPLY_IF_UI_FITS,Untranslated UI label became Korean.,System,System,Korean_Steam,System.Load,4,4,Load,Load,이어하기
APPLY_IF_UI_FITS,Untranslated UI label became Korean.,System,System,Korean_Steam,System.Gallery,5,5,Gallery,Gallery,갤러리룸
APPLY_IF_UI_FITS,Untranslated UI label became Korean.,System,System,Korean_Steam,System.Option,6,6,Option,Option,옵션설정
APPLY_IF_UI_FITS,Untranslated UI label became Korean.,System,System,Korean_Steam,System.Credit,7,7,Credit,Credit,스태프롤
APPLY_IF_UI_FITS,Untranslated UI label became Korean.,System,System,Korean_Steam,System.Exit,8,8,Exit,Exit,게임종료
APPLY,Meaning/naturalness fix that matches Japanese/source context.,System,System,Korean_Steam,System.FoodQuest,166,193,[食料調達],[식량 약탈],[식량 조달]
APPLY,Meaning/naturalness fix that matches Japanese/source context.,System,System,Korean_Steam,Ability.Fist_Info,399,434,ターンを消耗せずに敵単体を攻撃する。,턴을 소모하지 않고 적 단체를 공격한다.,턴을 소모하지 않고 적 단일을 공격한다.
APPLY,Meaning/naturalness fix that matches Japanese/source context.,System,System,Korean_Steam,HomeChar.Daiya_DLC_1-3,468,519,「私はご主人様に躾けられた忠犬です…♥」,「저는 주인님께 완전히 길들여진 충견입니다…♥」,「저는 주인님께 길들여진 충견입니다…♥」
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Hisui,Hisui,English_Steam,Hisui.Fallen1-49,104,104,(教育…前にやられた時よりっ……強力になってる……？),(The re-educating... it's more powerful than last time...?!),(The brainwashing... it's more powerful than last time...?!)
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Hisui,Hisui,English_Steam,Hisui.Fallen1-53,112,112,(ま、まずいです…このままだと本当に教育されて――――――――),(T-this is bad... at this rate I'll really be re-educated...),(T-this is bad... at this rate I'll really be brainwashed...)
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Hisui,Hisui,English_Steam,Hisui.Fallen1-74,156,156,(だっ、だめ…っ！聖核戦姫の力を失ったまま教育されたら…本当に戦闘員に……！？),(N-no...! If I'm re-educated without my Holy Core Battlemaiden powers... I'll really become a soldier...?!),(N-no...! If I'm brainwashed without my Holy Core Battlemaiden powers... I'll really become a soldier...?!)
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Hisui,Hisui,English_Steam,Hisui.Fallen1-152,320,320,【教育を終了します。K46号、報告をしなさい。】,"[Re-educating complete. K46, report.]","[Brainwashing complete. K46, report.]"
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Hisui,Hisui,English_Steam,Hisui.Fallen1-153,322,322,「キィーーーーーーッ！K46号、教育完了いたしました！」,"""KIIIIII! K46, re-educating complete!""","""KIIIIII! K46, brainwashing complete!"""
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Hisui,Hisui,English_Steam,Hisui.Fallen2-12,374,374,「いや～全くいい仕事だぜ…毎日のように新しい教育された女共がチンポしゃぶってくれるんだからな！」,"""Man, this is a great job... Every day newly re-educated women suck on us!""","""Man, this is a great job... Every day newly brainwashed women suck on us!"""
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Hisui,Hisui,English_Steam,Hisui.Fallen2-28,406,406,「教育前はクソビッチだったのか…！？」,"""Was she some kind of slut before the re-educating...?!""","""Was she some kind of slut before the brainwashing...?!"""
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Hisui,Hisui,English_Steam,Hisui.Fallen3-60,708,708,(……また……この教育装置……),(...Again... this re-educating device...),(...Again... this brainwashing device...)
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Hisui,Hisui,English_Steam,Hisui.Fallen3-68,724,724,そしてK46号に芽生えた違和感は教育と共に全て消え去る,And so the sense of unease that had sprouted in K46 was completely erased along with the re-educating.,And so the sense of unease that had sprouted in K46 was completely erased along with the brainwashing.
APPLY_IF_TERMINOLOGY_OK,LQA uses more natural coercive term: re-education -> brainwashing.,Hisui DLC2,Hisui,English_Steam,Hisui.Core1-18,376,1124,「ええ、残念ですが…。貴方は戦闘員として教育される以前は聖核戦姫でした。」,"""Yes, unfortunately... Before you were re-educated as a soldier, you were a Holy Core Battlemaiden.""","""Yes, unfortunately... Before you were brainwashed as a soldier, you were a Holy Core Battlemaiden."""
